NAZWISKO;PùEè;ZATRUDNIENIE;STAΩ;FUNKCJA;KATEDRA;ZAKùAD;URODZENIE;WIEK;TYTUù;STANOWISKO;SAMODZIELNY;DZIENNE;ZAOCZNE;PENSUM;PODSTAWA;WYSùUGA;FUNKCYJNY;NADGODZINY;BRUTTO;NETTO
G¢rski;M;1998-02-27;10;;Katedra_A;Zakàad_3;12/10/1962;46;dr;adiunkt;NS;240;72;240; 3 600,00 zà ; 360,00 zà ; -   zà ; 302,40 zà ; 4 262,40 zà ; 3 409,92 zà 
Roszak;M;2003-02-03;5;;Katedra_B;Zakàad_4;26/06/1969;39;dr;adiunkt;NS;257;120;240; 3 600,00 zà ; 180,00 zà ; -   zà ; 563,50 zà ; 4 343,50 zà ; 3 474,80 zà 
Cebula;M;1979-02-05;29;;Katedra_B;Zakàad_5;06/10/1949;59;dr;adiunkt;NS;252;45;240; 3 600,00 zà ; 720,00 zà ; -   zà ; 231,00 zà ; 4 551,00 zà ; 3 640,80 zà 
Terlecki;M;2004-02-25;4;;Katedra_A;Zakàad_1;22/05/1979;29;mgr inæ.;asystent;NS;264;0;240; 1 800,00 zà ; 72,00 zà ; -   zà ; 64,00 zà ; 1 936,00 zà ; 1 548,80 zà 
Wojtkowski;M;2001-02-11;7;;Katedra_D;Zakàad_8;08/11/1971;37;dr;st. wykàadowca;NS;364;0;360; 3 600,00 zà ; 252,00 zà ; -   zà ; 14,00 zà ; 3 866,00 zà ; 3 092,80 zà 
R©bek;M;2000-09-22;8;Kierownik Katedry;Katedra_B;Zakàad_4;09/08/1953;55;prof. dr hab.;profesor;S;114;0;180; 7 200,00 zà ; 576,00 zà ; 2 160,00 zà ; -   zà ; 9 936,00 zà ; 7 948,80 zà 
Sàawecki;M;2000-02-02;8;;Katedra_A;Zakàad_3;16/03/1968;40;dr;adiunkt;NS;279;90;240; 3 600,00 zà ; 288,00 zà ; -   zà ; 514,50 zà ; 4 402,50 zà ; 3 522,00 zà 
Deptuàa;M;2001-09-13;7;;Katedra_A;Zakàad_2;28/07/1970;38;dr;adiunkt;NS;270;45;240; 3 600,00 zà ; 252,00 zà ; -   zà ; 294,00 zà ; 4 146,00 zà ; 3 316,80 zà 
Szczerba;M;2003-02-04;5;Kierownik Zakàadu;Katedra_B;Zakàad_4;17/01/1976;32;dr;adiunkt;NS;163;72;240; 3 600,00 zà ; 180,00 zà ; 720,00 zà ; -   zà ; 4 500,00 zà ; 3 600,00 zà 
Karski;M;2000-09-19;8;;Katedra_A;Zakàad_1;07/01/1968;40;dr;adiunkt;NS;282;45;240; 3 600,00 zà ; 288,00 zà ; -   zà ; 336,00 zà ; 4 224,00 zà ; 3 379,20 zà 
Rusiecki;M;1999-09-14;9;;Katedra_C;Zakàad_7;07/10/1971;37;dr;adiunkt;NS;269;60;240; 3 600,00 zà ; 324,00 zà ; -   zà ; 353,50 zà ; 4 277,50 zà ; 3 422,00 zà 
Pisalski;M;1979-02-12;29;Kierownik Katedry;Katedra_C;Zakàad_6;21/01/1953;55;dr hab.;prof. nadzw.;S;171;0;210; 6 000,00 zà ; 1 200,00 zà ; 1 800,00 zà ; -   zà ; 9 000,00 zà ; 7 200,00 zà 
Wrona;M;1974-09-02;34;Dziekan;Katedra_E;Zakàad_10;19/09/1949;59;prof. dr hab.;profesor;S;125;0;180; 7 200,00 zà ; 1 440,00 zà ; 3 600,00 zà ; -   zà ; 12 240,00 zà ; 9 792,00 zà 
Ross;M;2002-09-23;6;;Katedra_C;Zakàad_6;12/02/1969;39;dr;adiunkt;NS;246;90;240; 3 600,00 zà ; 216,00 zà ; -   zà ; 399,00 zà ; 4 215,00 zà ; 3 372,00 zà 
D•browska;K;2005-02-13;3;;Katedra_E;Zakàad_10;23/04/1980;28;mgr;doktorant;NS;120;0;120; 1 200,00 zà ; 36,00 zà ; -   zà ; -   zà ; 1 236,00 zà ; 988,80 zà 
èwierz;M;2003-09-25;5;Kierownik Zakàadu;Katedra_A;Zakàad_2;02/12/1956;52;dr hab.;adiunkt;S;154;108;240; 3 600,00 zà ; 180,00 zà ; 720,00 zà ; 92,40 zà ; 4 592,40 zà ; 3 673,92 zà 
